run,model,dataset,missing_rate,seed,MAE,MSE,RMSE,MRE,metrics_file
gpt4ts/appliances_energy/mr0.1/seed123,gpt4ts,appliances_energy,0.1,123,0.07842884464598344,0.034169981327721546,0.18485124107703887,0.0778312780734737,output/imputation/cuda/paper_campaign/gpt4ts/appliances_energy/mr0.1/seed123/metrics/gpt4ts_metrics.json
gpt4ts/appliances_energy/mr0.1/seed42,gpt4ts,appliances_energy,0.1,42,0.07660305691039888,0.033275467187920134,0.1824156440328519,0.07600688950293535,output/imputation/cuda/paper_campaign/gpt4ts/appliances_energy/mr0.1/seed42/metrics/gpt4ts_metrics.json
gpt4ts/appliances_energy/mr0.1/seed456,gpt4ts,appliances_energy,0.1,456,0.07754838109032144,0.03244608186342949,0.18012795969373963,0.07710669638007844,output/imputation/cuda/paper_campaign/gpt4ts/appliances_energy/mr0.1/seed456/metrics/gpt4ts_metrics.json
gpt4ts/appliances_energy/mr0.3/seed123,gpt4ts,appliances_energy,0.3,123,0.11108663110071965,0.06104248327082779,0.2470677706031845,0.11019362049293714,output/imputation/cuda/paper_campaign/gpt4ts/appliances_energy/mr0.3/seed123/metrics/gpt4ts_metrics.json
gpt4ts/appliances_energy/mr0.3/seed42,gpt4ts,appliances_energy,0.3,42,0.11161874623709599,0.061434449982745706,0.24785973852714704,0.11073470525709868,output/imputation/cuda/paper_campaign/gpt4ts/appliances_energy/mr0.3/seed42/metrics/gpt4ts_metrics.json
gpt4ts/appliances_energy/mr0.3/seed456,gpt4ts,appliances_energy,0.3,456,0.1112375166548542,0.059633703949695006,0.24420013093709636,0.11039198046389068,output/imputation/cuda/paper_campaign/gpt4ts/appliances_energy/mr0.3/seed456/metrics/gpt4ts_metrics.json
gpt4ts/appliances_energy/mr0.5/seed123,gpt4ts,appliances_energy,0.5,123,0.15980617811399367,0.10231388944671498,0.319865423962508,0.1585983196199905,output/imputation/cuda/paper_campaign/gpt4ts/appliances_energy/mr0.5/seed123/metrics/gpt4ts_metrics.json
gpt4ts/appliances_energy/mr0.5/seed42,gpt4ts,appliances_energy,0.5,42,0.16031161272442399,0.10199951488992716,0.31937362898324456,0.15904699462414004,output/imputation/cuda/paper_campaign/gpt4ts/appliances_energy/mr0.5/seed42/metrics/gpt4ts_metrics.json
gpt4ts/appliances_energy/mr0.5/seed456,gpt4ts,appliances_energy,0.5,456,0.1606946894599403,0.10189692135641754,0.3192129717859497,0.15959309900928006,output/imputation/cuda/paper_campaign/gpt4ts/appliances_energy/mr0.5/seed456/metrics/gpt4ts_metrics.json
gpt4ts/citylearn_zone5/mr0.1/seed123,gpt4ts,citylearn_zone5,0.1,123,0.1072023978811429,0.04063920018789784,0.20159166696046205,0.13143579142314998,output/imputation/cuda/paper_campaign/gpt4ts/citylearn_zone5/mr0.1/seed123/metrics/gpt4ts_metrics.json
gpt4ts/citylearn_zone5/mr0.1/seed42,gpt4ts,citylearn_zone5,0.1,42,0.10561790697088533,0.04082895194183214,0.2020617527931304,0.1298577989580573,output/imputation/cuda/paper_campaign/gpt4ts/citylearn_zone5/mr0.1/seed42/metrics/gpt4ts_metrics.json
gpt4ts/citylearn_zone5/mr0.1/seed456,gpt4ts,citylearn_zone5,0.1,456,0.10784685122525549,0.04042900771673691,0.20106965886661496,0.1325505683899752,output/imputation/cuda/paper_campaign/gpt4ts/citylearn_zone5/mr0.1/seed456/metrics/gpt4ts_metrics.json
gpt4ts/citylearn_zone5/mr0.3/seed123,gpt4ts,citylearn_zone5,0.3,123,0.13961511697993045,0.06232175451415444,0.2496432544935962,0.1712589210421507,output/imputation/cuda/paper_campaign/gpt4ts/citylearn_zone5/mr0.3/seed123/metrics/gpt4ts_metrics.json
gpt4ts/citylearn_zone5/mr0.3/seed42,gpt4ts,citylearn_zone5,0.3,42,0.1392413020281881,0.0630023309549452,0.25100265129066907,0.17105990853629252,output/imputation/cuda/paper_campaign/gpt4ts/citylearn_zone5/mr0.3/seed42/metrics/gpt4ts_metrics.json
gpt4ts/citylearn_zone5/mr0.3/seed456,gpt4ts,citylearn_zone5,0.3,456,0.13960592221232182,0.062115718787233244,0.2492302525521997,0.17151571345085653,output/imputation/cuda/paper_campaign/gpt4ts/citylearn_zone5/mr0.3/seed456/metrics/gpt4ts_metrics.json
gpt4ts/citylearn_zone5/mr0.5/seed123,gpt4ts,citylearn_zone5,0.5,123,0.19471446598095463,0.10813667282130937,0.3288414098335387,0.23899667248180462,output/imputation/cuda/paper_campaign/gpt4ts/citylearn_zone5/mr0.5/seed123/metrics/gpt4ts_metrics.json
gpt4ts/citylearn_zone5/mr0.5/seed42,gpt4ts,citylearn_zone5,0.5,42,0.19247061680402536,0.10730938452316129,0.32758111136504997,0.2363373408295402,output/imputation/cuda/paper_campaign/gpt4ts/citylearn_zone5/mr0.5/seed42/metrics/gpt4ts_metrics.json
gpt4ts/citylearn_zone5/mr0.5/seed456,gpt4ts,citylearn_zone5,0.5,456,0.19379152340600975,0.10792843212943186,0.328524629410691,0.23794448344620564,output/imputation/cuda/paper_campaign/gpt4ts/citylearn_zone5/mr0.5/seed456/metrics/gpt4ts_metrics.json
gpt4ts/eld/mr0.1/seed123,gpt4ts,eld,0.1,123,0.09609488541698467,0.04707296800977462,0.2169630567856533,0.051409849964922524,output/imputation/cuda/paper_campaign/gpt4ts/eld/mr0.1/seed123/metrics/gpt4ts_metrics.json
gpt4ts/eld/mr0.1/seed42,gpt4ts,eld,0.1,42,0.09253142898907803,0.04321239692937379,0.20787591714619996,0.049543110518555054,output/imputation/cuda/paper_campaign/gpt4ts/eld/mr0.1/seed42/metrics/gpt4ts_metrics.json
gpt4ts/eld/mr0.1/seed456,gpt4ts,eld,0.1,456,0.09183747213466531,0.04275314399961827,0.2067683341317482,0.049167849524157696,output/imputation/cuda/paper_campaign/gpt4ts/eld/mr0.1/seed456/metrics/gpt4ts_metrics.json
gpt4ts/eld/mr0.3/seed123,gpt4ts,eld,0.3,123,0.0988966932738403,0.050090397486471254,0.22380884139477433,0.05295597313861575,output/imputation/cuda/paper_campaign/gpt4ts/eld/mr0.3/seed123/metrics/gpt4ts_metrics.json
gpt4ts/eld/mr0.3/seed42,gpt4ts,eld,0.3,42,0.10037846553171667,0.05149811251807788,0.22693195570055327,0.05373759534742122,output/imputation/cuda/paper_campaign/gpt4ts/eld/mr0.3/seed42/metrics/gpt4ts_metrics.json
gpt4ts/eld/mr0.3/seed456,gpt4ts,eld,0.3,456,0.09518144377143362,0.046175612536989936,0.21488511474038852,0.05095997743805389,output/imputation/cuda/paper_campaign/gpt4ts/eld/mr0.3/seed456/metrics/gpt4ts_metrics.json
gpt4ts/etth1/mr0.1/seed123,gpt4ts,etth1,0.1,123,0.23480024333952323,0.1205318919560011,0.3471770325871242,0.27274027408017676,output/imputation/cuda/paper_campaign/gpt4ts/etth1/mr0.1/seed123/metrics/gpt4ts_metrics.json
gpt4ts/etth1/mr0.1/seed42,gpt4ts,etth1,0.1,42,0.23459304335074407,0.12251817419173865,0.35002596216814924,0.28244415621136887,output/imputation/cuda/paper_campaign/gpt4ts/etth1/mr0.1/seed42/metrics/gpt4ts_metrics.json
gpt4ts/etth1/mr0.1/seed456,gpt4ts,etth1,0.1,456,0.2289501625752361,0.11267326692893509,0.33566838833726226,0.2702225533185412,output/imputation/cuda/paper_campaign/gpt4ts/etth1/mr0.1/seed456/metrics/gpt4ts_metrics.json
gpt4ts/etth1/mr0.3/seed123,gpt4ts,etth1,0.3,123,0.2718351089259316,0.16223233498886996,0.4027807530020147,0.3179026673964203,output/imputation/cuda/paper_campaign/gpt4ts/etth1/mr0.3/seed123/metrics/gpt4ts_metrics.json
gpt4ts/etth1/mr0.3/seed42,gpt4ts,etth1,0.3,42,0.27679087594305496,0.17479082696017637,0.41807992891333157,0.32627473704356036,output/imputation/cuda/paper_campaign/gpt4ts/etth1/mr0.3/seed42/metrics/gpt4ts_metrics.json
gpt4ts/etth1/mr0.3/seed456,gpt4ts,etth1,0.3,456,0.27169839655820444,0.1693345112489261,0.4115027475593888,0.32067340810690226,output/imputation/cuda/paper_campaign/gpt4ts/etth1/mr0.3/seed456/metrics/gpt4ts_metrics.json
gpt4ts/etth1/mr0.5/seed123,gpt4ts,etth1,0.5,123,0.30457820800861996,0.21250348022521495,0.4609809976834348,0.35749043242228884,output/imputation/cuda/paper_campaign/gpt4ts/etth1/mr0.5/seed123/metrics/gpt4ts_metrics.json
